time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-03T03:36:58.617Z,55.1736,-159.5175,41.1,3.8,mb,,115,0.345,0.53,us,us6000b8k0,2020-08-03T04:01:05.040Z,"64 km ESE of Sand Point, Alaska",earthquake,8.5,20.7,0.147,12,reviewed,us,us
2020-08-03T03:12:10.700Z,17.9253,-66.9343,13,2.9,md,23,207,0.0743,0.16,pr,pr2020216001,2020-08-03T05:45:00.776Z,"5 km SSW of Guánica, Puerto Rico",earthquake,0.56,0.29,0.18,16,reviewed,pr,pr
2020-08-03T02:52:26.160Z,17.9645,-66.984,6,3.16,md,22,188,0.0604,0.09,pr,pr2020216000,2020-08-03T03:39:08.040Z,"6 km E of La Parguera, Puerto Rico",earthquake,0.41,0.23,0.19,15,reviewed,pr,pr
2020-08-03T02:35:20.417Z,-5.062,145.4007,128.62,4.4,mb,,70,3.583,1.06,us,us6000b8i3,2020-08-03T03:15:10.040Z,"46 km WNW of Madang, Papua New Guinea",earthquake,9.7,8,0.084,41,reviewed,us,us
2020-08-03T02:03:41.460Z,35.9183333,-83.6435,17.35,2.61,md,28,45,0.2631,0.2,se,se60323696,2020-08-03T18:30:18.612Z,"7 km ENE of Seymour, Tennessee",earthquake,0.28,1.08,0.069,25,reviewed,se,se
2020-08-03T01:50:06.810Z,19.2328338623047,-155.404327392578,31.4699993133545,2.78999996,md,27,163,,0.119999997,hv,hv72072697,2020-08-03T01:53:21.800Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.7,0.959999979,2.78999996,4,automatic,hv,hv
2020-08-03T01:43:00.050Z,0.1929,126.1539,52.39,4.6,mb,,52,1.342,0.8,us,us6000b8hg,2020-08-03T03:07:27.040Z,"152 km WSW of Ternate, Indonesia",earthquake,5.2,6.7,0.103,28,reviewed,us,us
2020-08-03T01:18:15.519Z,-17.3109,-174.2604,80.33,5.2,mww,,52,4.14,0.95,us,us6000b8h3,2020-08-04T16:11:18.040Z,"151 km N of Neiafu, Tonga",earthquake,10,5.2,0.098,10,reviewed,us,us
2020-08-03T00:58:25.415Z,-19.64,-177.9722,578.46,4.5,mb,,74,4.212,1.09,us,us6000b8gu,2020-08-03T01:25:32.040Z,"Fiji region",earthquake,11.1,6.8,0.036,229,reviewed,us,us
2020-08-03T00:36:04.156Z,-52.8471,27.558,10,4.7,mb,,67,16.953,0.59,us,us6000b8gk,2020-08-04T05:07:28.040Z,"south of Africa",earthquake,12.8,1.9,0.113,24,reviewed,us,us
2020-08-02T21:37:39.229Z,60.4718,-150.8877,20.8,2.6,ml,,,,0.84,ak,ak0209vx9qfl,2020-08-04T05:13:51.119Z,"7 km WSW of Funny River, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-02T21:33:46.012Z,-7.8102,130.3305,10,4.7,mb,,67,0.974,0.68,us,us6000b8fc,2020-08-03T21:34:56.040Z,"Pulau Pulau Tanimbar, Indonesia",earthquake,5.7,1.9,0.099,31,reviewed,us,us
2020-08-02T20:54:07.225Z,43.5203,-128.3301,10,3.3,ml,,291,2.33,0.67,us,us6000b8f4,2020-08-02T21:02:32.040Z,"off the coast of Oregon",earthquake,11.7,2,0.059,38,reviewed,us,us
2020-08-02T20:21:35.538Z,40.4377,-127.3344,11.66,3.3,ml,,265,2.453,1.23,us,us6000b8er,2020-08-03T01:24:02.958Z,"260 km W of Ferndale, California",earthquake,11.4,9.9,0.048,58,reviewed,us,us
2020-08-02T18:58:34.364Z,54.9064,-160.242,29.53,3.6,ml,,159,0.384,0.64,us,us6000b8ec,2020-08-04T05:13:42.932Z,"50 km SSE of Sand Point, Alaska",earthquake,7.8,13.2,0.071,26,reviewed,us,us
2020-08-02T18:18:27.735Z,38.1531,-117.9523,7.4,2.7,ml,24,31.33,0.015,0.1521,nn,nn00765196,2020-08-02T19:28:02.040Z,"29 km SSE of Mina, Nevada",earthquake,,0.6,0.7,5,reviewed,nn,nn
2020-08-02T16:44:25.296Z,-0.3204,124.4139,32.58,5,mb,,39,1.791,0.98,us,us6000b8dn,2020-08-02T18:22:04.040Z,"177 km ESE of Gorontalo, Indonesia",earthquake,6,4.4,0.05,131,reviewed,us,us
